frame,metric,value,unit,group
0,vibration,0.0733,g,reference:cwru
0,vibration_velocity,0.555,mm/s,reference:cwru
0,fault,0.0,state,reference:cwru
1,vibration,0.079,g,reference:cwru
1,vibration_velocity,0.555,mm/s,reference:cwru
1,fault,0.0,state,reference:cwru
2,vibration,0.0743,g,reference:cwru
2,vibration_velocity,0.595,mm/s,reference:cwru
2,fault,0.0,state,reference:cwru
3,vibration,0.0737,g,reference:cwru
3,vibration_velocity,0.601,mm/s,reference:cwru
3,fault,0.0,state,reference:cwru
4,vibration,0.0721,g,reference:cwru
4,vibration_velocity,0.528,mm/s,reference:cwru
4,fault,0.0,state,reference:cwru
5,vibration,0.0727,g,reference:cwru
5,vibration_velocity,0.565,mm/s,reference:cwru
5,fault,0.0,state,reference:cwru
6,vibration,0.0717,g,reference:cwru
6,vibration_velocity,0.506,mm/s,reference:cwru
6,fault,0.0,state,reference:cwru
7,vibration,0.0724,g,reference:cwru
7,vibration_velocity,0.562,mm/s,reference:cwru
7,fault,0.0,state,reference:cwru
8,vibration,0.0743,g,reference:cwru
8,vibration_velocity,0.494,mm/s,reference:cwru
8,fault,0.0,state,reference:cwru
9,vibration,0.0713,g,reference:cwru
9,vibration_velocity,0.551,mm/s,reference:cwru
9,fault,0.0,state,reference:cwru
10,vibration,0.0746,g,reference:cwru
10,vibration_velocity,0.575,mm/s,reference:cwru
10,fault,0.0,state,reference:cwru
11,vibration,0.074,g,reference:cwru
11,vibration_velocity,0.593,mm/s,reference:cwru
11,fault,0.0,state,reference:cwru
12,vibration,0.0748,g,reference:cwru
12,vibration_velocity,0.59,mm/s,reference:cwru
12,fault,0.0,state,reference:cwru
13,vibration,0.0759,g,reference:cwru
13,vibration_velocity,0.556,mm/s,reference:cwru
13,fault,0.0,state,reference:cwru
14,vibration,0.0708,g,reference:cwru
14,vibration_velocity,0.652,mm/s,reference:cwru
14,fault,0.0,state,reference:cwru
15,vibration,0.0728,g,reference:cwru
15,vibration_velocity,0.541,mm/s,reference:cwru
15,fault,0.0,state,reference:cwru
16,vibration,0.0717,g,reference:cwru
16,vibration_velocity,0.525,mm/s,reference:cwru
16,fault,0.0,state,reference:cwru
17,vibration,0.073,g,reference:cwru
17,vibration_velocity,0.643,mm/s,reference:cwru
17,fault,0.0,state,reference:cwru
18,vibration,0.0736,g,reference:cwru
18,vibration_velocity,0.617,mm/s,reference:cwru
18,fault,0.0,state,reference:cwru
19,vibration,0.0713,g,reference:cwru
19,vibration_velocity,0.682,mm/s,reference:cwru
19,fault,0.0,state,reference:cwru
20,vibration,0.0739,g,reference:cwru
20,vibration_velocity,0.618,mm/s,reference:cwru
20,fault,0.0,state,reference:cwru
21,vibration,0.0736,g,reference:cwru
21,vibration_velocity,0.688,mm/s,reference:cwru
21,fault,0.0,state,reference:cwru
22,vibration,0.0752,g,reference:cwru
22,vibration_velocity,0.601,mm/s,reference:cwru
22,fault,0.0,state,reference:cwru
23,vibration,0.075,g,reference:cwru
23,vibration_velocity,0.619,mm/s,reference:cwru
23,fault,0.0,state,reference:cwru
24,vibration,0.0752,g,reference:cwru
24,vibration_velocity,0.678,mm/s,reference:cwru
24,fault,0.0,state,reference:cwru
25,vibration,0.0708,g,reference:cwru
25,vibration_velocity,0.567,mm/s,reference:cwru
25,fault,0.0,state,reference:cwru
26,vibration,0.0719,g,reference:cwru
26,vibration_velocity,0.562,mm/s,reference:cwru
26,fault,0.0,state,reference:cwru
27,vibration,0.0712,g,reference:cwru
27,vibration_velocity,0.598,mm/s,reference:cwru
27,fault,0.0,state,reference:cwru
28,vibration,0.073,g,reference:cwru
28,vibration_velocity,0.543,mm/s,reference:cwru
28,fault,0.0,state,reference:cwru
29,vibration,0.0725,g,reference:cwru
29,vibration_velocity,0.584,mm/s,reference:cwru
29,fault,0.0,state,reference:cwru
30,vibration,0.073,g,reference:cwru
30,vibration_velocity,0.565,mm/s,reference:cwru
30,fault,0.0,state,reference:cwru
31,vibration,0.0708,g,reference:cwru
31,vibration_velocity,0.584,mm/s,reference:cwru
31,fault,0.0,state,reference:cwru
32,vibration,0.0748,g,reference:cwru
32,vibration_velocity,0.675,mm/s,reference:cwru
32,fault,0.0,state,reference:cwru
33,vibration,0.0704,g,reference:cwru
33,vibration_velocity,0.594,mm/s,reference:cwru
33,fault,0.0,state,reference:cwru
34,vibration,0.0741,g,reference:cwru
34,vibration_velocity,0.703,mm/s,reference:cwru
34,fault,0.0,state,reference:cwru
35,vibration,0.0707,g,reference:cwru
35,vibration_velocity,0.596,mm/s,reference:cwru
35,fault,0.0,state,reference:cwru
36,vibration,0.0729,g,reference:cwru
36,vibration_velocity,0.674,mm/s,reference:cwru
36,fault,0.0,state,reference:cwru
37,vibration,0.0723,g,reference:cwru
37,vibration_velocity,0.574,mm/s,reference:cwru
37,fault,0.0,state,reference:cwru
38,vibration,0.0706,g,reference:cwru
38,vibration_velocity,0.546,mm/s,reference:cwru
38,fault,0.0,state,reference:cwru
39,vibration,0.0722,g,reference:cwru
39,vibration_velocity,0.658,mm/s,reference:cwru
39,fault,0.0,state,reference:cwru
40,vibration,0.0713,g,reference:cwru
40,vibration_velocity,0.563,mm/s,reference:cwru
40,fault,0.0,state,reference:cwru
41,vibration,0.0729,g,reference:cwru
41,vibration_velocity,0.623,mm/s,reference:cwru
41,fault,0.0,state,reference:cwru
42,vibration,0.076,g,reference:cwru
42,vibration_velocity,0.705,mm/s,reference:cwru
42,fault,0.0,state,reference:cwru
43,vibration,0.0721,g,reference:cwru
43,vibration_velocity,0.628,mm/s,reference:cwru
43,fault,0.0,state,reference:cwru
44,vibration,0.0742,g,reference:cwru
44,vibration_velocity,0.702,mm/s,reference:cwru
44,fault,0.0,state,reference:cwru
45,vibration,0.0722,g,reference:cwru
45,vibration_velocity,0.654,mm/s,reference:cwru
45,fault,0.0,state,reference:cwru
46,vibration,0.0775,g,reference:cwru
46,vibration_velocity,0.881,mm/s,reference:cwru
46,fault,0.0,state,reference:cwru
47,vibration,0.0734,g,reference:cwru
47,vibration_velocity,0.571,mm/s,reference:cwru
47,fault,0.0,state,reference:cwru
48,vibration,0.0715,g,reference:cwru
48,vibration_velocity,0.65,mm/s,reference:cwru
48,fault,0.0,state,reference:cwru
49,vibration,0.0717,g,reference:cwru
49,vibration_velocity,0.584,mm/s,reference:cwru
49,fault,0.0,state,reference:cwru
50,vibration,0.0704,g,reference:cwru
50,vibration_velocity,0.531,mm/s,reference:cwru
50,fault,0.0,state,reference:cwru
51,vibration,0.071,g,reference:cwru
51,vibration_velocity,0.629,mm/s,reference:cwru
51,fault,0.0,state,reference:cwru
52,vibration,0.0703,g,reference:cwru
52,vibration_velocity,0.515,mm/s,reference:cwru
52,fault,0.0,state,reference:cwru
53,vibration,0.0726,g,reference:cwru
53,vibration_velocity,0.71,mm/s,reference:cwru
53,fault,0.0,state,reference:cwru
54,vibration,0.0706,g,reference:cwru
54,vibration_velocity,0.658,mm/s,reference:cwru
54,fault,0.0,state,reference:cwru
55,vibration,0.0708,g,reference:cwru
55,vibration_velocity,0.586,mm/s,reference:cwru
